종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
45200,46233.63636,46070,7,3461694732,44.18300547,-900,46195
44950,45947.27273,45630,6.96,3453540100,42.62191151,-1850,46160
43950,45512.72727,45200,6.8,3451445300,36.99172203,-3250,46137.5
43500,45055.45455,44590,6.73,3448050226,34.76613925,-3800,46057.5
43200,44612.72727,44160,6.69,3442958090,33.32659961,-3200,45940
42650,44128.18182,43650,6.6,3441528988,30.80801256,-4550,45762.5
43150,43817.27273,43290,6.68,3439417620,35.57467684,-4000,45605
43700,43679.09091,43240,6.76,3438760843,40.43564289,-2400,45467.5
43000,43457.27273,43140,6.66,3438419775,36.64588686,-3550,45275
43700,43427.27273,43240,6.76,3435348517,42.45414161,-1650,45157.5
43900,43463.63636,43490,6.79,3436379938,44.0329163,-1300,45047.5
43600,43469.09091,43580,6.75,3436000880,42.16427204,-1350,44887.5
44450,43653.63636,43730,6.88,3433651503,48.79476612,500,44750
44500,43838.18182,44030,6.89,3433402846,49.16396225,1000,44610
44050,43922.72727,44100,6.82,3432663035,45.95266379,850,44492.5
43950,43973.63636,44110,6.8,3432518304,45.24540164,1300,44330
43600,43937.27273,44110,6.75,3432186660,42.76451998,450,44152.5
44050,43974.54545,44030,6.82,3432179498,46.80325892,350,44050
44150,44023.63636,43960,6.83,3430931255,47.6866743,1150,43930
43400,43915.45455,43830,6.72,3431073303,42.04692141,-300,43832.5
44000,43921.81818,43840,6.81,3428751208,47.40581843,100,43772.5
43800,43890,43880,6.78,3426651811,45.88277596,200,43715
43250,43754.54545,43720,6.69,3426723282,41.8964319,-1200,43680
44100,43795.45455,43710,6.83,3422269559,49.23675815,-400,43710
45700,44134.54545,44170,7.07,3418938567,59.58640984,1650,43835
46300,44552.72727,44630,7.17,3420701695,62.66078929,2350,44017.5
46900,45037.27273,45250,7.26,3422245966,65.48816048,3300,44205
47000,45480,46000,7.27,3424831166,65.9509212,2950,44370
47150,45896.36364,46610,7.3,3426066934,66.67279816,3000,44577.5
47100,46249.09091,46890,7.29,3425302880,66.16920807,3700,44747.5
46900,46498.18182,47010,7.26,3423978972,64.08412375,2900,44897.5
47700,46840,47170,7.38,3424378628,68.37671331,3900,45102.5
49150,47374.54545,47600,7.61,3426615181,74.35859049,5900,45337.5
49200,47810.90909,48010,7.61,3431557943,74.53745287,5100,45572.5
49300,48172.72727,48450,7.63,3432040138,74.91434515,3600,45835
49500,48505.45455,48970,7.66,3432821185,75.68938845,3200,46112.5
48900,48670.90909,49210,7.57,3430976653,68.81995613,2000,46377.5
49200,48854.54545,49220,7.61,3430140389,70.27272218,2200,46635
48400,48852.72727,49060,7.49,3428244132,61.97954811,1250,46847.5
49050,48946.36364,49010,7.59,3427169304,65.53815921,1950,47130
48850,48968.18182,48880,7.56,3427577576,63.56667161,1950,47372.5
47600,48727.27273,48620,7.37,3426076371,52.86333736,-100,47562.5
48000,48560.90909,48380,7.43,3428008622,55.4484929,-1150,47800
