³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2020-01-13,62805,130.06,7.01,3387,0.0,0
2020-01-14,62805,128.43,6.93,3387,0.0,0
2020-01-15,62805,128.28,6.92,3387,0.0,0
2020-01-16,62805,128.88,6.95,3387,0.0,0
2020-01-17,62805,129.02,6.96,3387,0.0,0
2020-01-20,62805,129.32,6.97,3387,0.0,0
2020-01-21,62805,129.32,6.97,3387,0.0,0
2020-01-22,62805,133.45,7.2,3387,0.0,0
2020-01-23,62805,142.6,7.69,3387,0.0,0
2020-01-28,62805,145.85,7.87,3387,0.0,0
2020-01-29,62805,144.97,7.82,3387,0.0,0
2020-01-30,62805,146.15,7.88,3387,0.0,0
2020-01-31,62805,143.05,7.71,3387,0.0,0
2020-02-03,62805,141.57,7.63,3387,0.0,0
2020-02-04,62805,145.41,7.84,3387,0.0,0
2020-02-05,62805,144.67,7.8,3387,0.0,0
2020-02-06,62805,153.23,8.26,3387,0.0,0
2020-02-07,62805,153.23,8.26,3387,0.0,0
2020-02-10,62805,156.48,8.44,3387,0.0,0
2020-02-11,62805,155.89,8.41,3387,0.0,0
2020-02-12,62805,156.48,8.44,3387,0.0,0
2020-02-13,62805,156.48,8.44,3387,0.0,0
2020-02-14,62805,156.19,8.42,3387,0.0,0
2020-02-17,62805,153.23,8.26,3387,0.0,0
2020-02-18,62805,151.46,8.17,3387,0.0,0
2020-02-19,62805,149.1,8.04,3387,0.0,0
2020-02-20,62805,147.18,7.94,3387,0.0,0
2020-02-21,62805,143.64,7.75,3387,0.0,0
2020-02-24,62805,136.11,7.34,3387,0.0,0
2020-02-25,62805,141.42,7.63,3387,0.0,0
2020-02-26,62805,141.72,7.64,3387,0.0,0
2020-02-27,62805,141.72,7.64,3387,0.0,0
2020-02-28,62805,136.85,7.38,3387,0.0,0
2020-03-02,62805,137.88,7.44,3387,0.0,0
2020-03-03,62805,141.57,7.63,3387,0.0,0
2020-03-04,62805,144.38,7.79,3387,0.0,0
2020-03-05,62805,146.59,7.91,3387,0.0,0
2020-03-06,62805,144.97,7.82,3387,0.0,0
2020-03-09,62805,145.85,7.87,3387,0.0,0
2020-03-10,62805,146.44,7.9,3387,0.0,0
2020-03-11,62805,142.9,7.71,3387,0.0,0
